Code obligation,Nom,Date émission,Date maturité,Cours du jour en valeur,Coupon Couru,Dernier paiement (Date/Valeur du coupon),Organization,start,end,interest,last_payment_date,last_payment_value
TPCI.O32,"TPCI 2,23% 2019-2026",26/09/2019,,0,21995,"20/06/2022 / 223,00",TPCI,2019,2026,2.23,20/06/2022,/
TPCI.O33,"TPCI 5,75% 2019-2026",14/11/2019,,6 480,8201,"20/03/2023 / 345,00",TPCI,2019,2026,5.75,20/03/2023,/
TPCI.O34,"TPCI 6,00% 2019-2029",14/11/2019,,7 500,10697,"20/03/2023 / 450,00",TPCI,2019,2029,6.00,20/03/2023,/
TPCI.O35,"TPCI 5,75% 2019-2026",07/01/2020,,10 250,53404,"11/07/2022 / 575,00",TPCI,2019,2026,5.75,11/07/2022,/
TPCI.O36,"TPCI 5,75% 2019-2026",07/01/2020,,10 035,46945,"21/08/2022 / 575,00",TPCI,2019,2026,5.75,21/08/2022,/
TPCI.O37,"TPCI 5,80% 2019-2026",06/03/2020,,7 760,24535,"04/12/2022 / 464,00",TPCI,2019,2026,5.80,04/12/2022,/
TPCI.O38,"TPCI 5,75% 2019-2026",19/03/2020,,8 000,24323,"04/12/2022 / 460,00",TPCI,2019,2026,5.75,04/12/2022,/
TPCI.O39,"TPCI 5,75% 2019-2026",19/03/2020,,8 560,30373,"17/10/2022 / 460,00",TPCI,2019,2026,5.75,17/10/2022,/
TPCI.O40,"TPCI 5,75% 2019-2026",15/05/2020,,8 160,19660,"10/01/2023 / 460,00",TPCI,2019,2026,5.75,10/01/2023,/
TPCI.O41,"TPCI 5,80% 2020-2027",26/05/2020,,10 750,16956,"28/02/2023 / 580,00",TPCI,2020,2027,5.80,28/02/2023,/
TPCI.O42,"TPCI 5,90% 2020-2030",26/05/2020,,10 250,17249,"28/02/2023 / 590,00",TPCI,2020,2030,5.90,28/02/2023,/
TPCI.O43,"TPCI 5,90% 2020-2030",18/08/2020,,10 050,8544,"23/04/2023 / 590,00",TPCI,2020,2030,5.90,23/04/2023,/
TPCI.O44,"TPCI 5,80% 2020-2027",18/08/2020,,10 095,8399,"23/04/2023 / 580,00",TPCI,2020,2027,5.80,23/04/2023,/
TPCI.O45,"TPCI 5,80% 2020-2027",28/08/2020,,10 000,57841,"16/06/2022 / 580,00",TPCI,2020,2027,5.80,16/06/2022,/
TPCI.O46,"TPCI 5,90% 2020-2030",28/08/2020,,10 200,58838,"16/06/2022 / 590,00",TPCI,2020,2030,5.90,16/06/2022,/
TPCI.O47,"TPCI 5,80% 2020-2027",11/09/2020,,10 250,57841,"16/06/2022 / 580,00",TPCI,2020,2027,5.80,16/06/2022,/
TPCI.O48,"TPCI 5,80% 2020-2027",26/10/2020,,9 900,51008,"29/07/2022 / 580,00",TPCI,2020,2027,5.80,29/07/2022,/
TPCI.O49,"TPCI 5,90% 2020-2030",26/10/2020,,10 085,51888,"29/07/2022 / 590,00",TPCI,2020,2030,5.90,29/07/2022,/
TPCI.O50,"TPCI 5,90% 2020-2030",29/12/2020,,10 000,47038,"28/08/2022 / 590,00",TPCI,2020,2030,5.90,28/08/2022,/
TPCI.O51,"TPCI 5,80% 2020-2027",29/12/2020,,10 000,40679,"02/10/2022 / 580,00",TPCI,2020,2027,5.80,02/10/2022,/
TPCI.O52,"TPCI 5,90% 2020-2030",29/12/2020,,10 300,41381,"02/10/2022 / 590,00",TPCI,2020,2030,5.90,02/10/2022,/
TPCI.O53,"TPCI 5,80% 2020-2027",29/12/2020,,10 600,36548,"28/10/2022 / 580,00",TPCI,2020,2027,5.80,28/10/2022,/
TPCI.O54,"TPCI 5,90% 2020-2030",29/12/2020,,10 000,37178,"28/10/2022 / 590,00",TPCI,2020,2030,5.90,28/10/2022,/
TPCI.O55,"TPCI 5,80% 2020-2027",18/02/2021,,10 500,27490,"24/12/2022 / 580,00",TPCI,2020,2027,5.80,24/12/2022,/
TPCI.O56,"TPCI 5,90% 2020-2030",18/02/2021,,10 800,27964,"24/12/2022 / 590,00",TPCI,2020,2030,5.90,24/12/2022,/
TPCI.O57,"TPCI 5,80% 2020-2027",18/02/2021,,10 000,32893,"20/11/2022 / 580,00",TPCI,2020,2027,5.80,20/11/2022,/
TPCI.O58,"TPCI 5,80% 2021-2028",20/05/2021,,10 100,15530,"09/03/2023 / 580,00",TPCI,2021,2028,5.80,09/03/2023,/
TPCI.O59,"TPCI 5,90% 2021-2031",20/05/2021,,10 350,15798,"09/03/2023 / 590,00",TPCI,2021,2031,5.90,09/03/2023,/
TPCI.O60,"TPCI 5,80% 2021-2028",06/07/2021,,10 050,63244,"13/05/2022 / 580,00",TPCI,2021,2028,5.80,13/05/2022,/
TPCI.O61,"TPCI 5,90% 2021-2031",06/07/2021,,10 050,64334,"13/05/2022 / 590,00",TPCI,2021,2031,5.90,13/05/2022,/
TPCI.O62,"TPCI 5,80% 2021-2028",26/08/2021,,10 800,55616,"30/06/2022 / 580,00",TPCI,2021,2028,5.80,30/06/2022,/
TPCI.O63,"TPCI 5,90% 2021-2031",26/08/2021,,10 000,56575,"30/06/2022 / 590,00",TPCI,2021,2031,5.90,30/06/2022,/
TPCI.O64,"TPCI 5,80% 2021-2028",15/10/2021,,10 180,48148,"16/08/2022 / 580,00",TPCI,2021,2028,5.80,16/08/2022,/
TPCI.O65,"TPCI 5,90% 2021-2031",11/11/2021,,10 700,41704,"30/09/2022 / 590,00",TPCI,2021,2031,5.90,30/09/2022,/
TPCI.O66,"TPCI 5,90% 2021-2031",21/12/2021,,9 950,35885,"05/11/2022 / 590,00",TPCI,2021,2031,5.90,05/11/2022,/
TPCI.O67,"TPCI 5,90% 2021-2036",08/02/2022,,10 400,29258,"16/12/2022 / 590,00",TPCI,2021,2036,5.90,16/12/2022,/
TPCI.O68,"TPCI 5,90% 2022-2037",24/03/2022,,10 000,21660,"01/02/2023 / 590,00",TPCI,2022,2037,5.90,01/02/2023,/
TPCI.O69,"TPCI 5,75% 2022-2037",18/05/2022,,10 000,13354,"22/03/2023 / 575,00",TPCI,2022,2037,5.75,22/03/2023,/
TPCI.O70,"TPCI 5,75% 2022-2037",07/07/2022,,10 100,64904,"29/04/2022 / 575,00",TPCI,2022,2037,5.75,29/04/2022,/
TPCI.O71,"TPCI 5,65% 2022-2032",30/08/2022,,10 150,56500,"15/06/2022 / 565,00",TPCI,2022,2032,5.65,15/06/2022,/
TPCI.O72,"TPCI 5,65% 2022-2029",29/09/2022,,10 000,49689,"29/07/2022 / 565,00",TPCI,2022,2029,5.65,29/07/2022,/
TPCI.O73,"TPCI 5,75% 2022-2032",29/09/2022,,10 000,50568,"29/07/2022 / 575,00",TPCI,2022,2032,5.75,29/07/2022,/
TPCI.O74,"TPCI 5,85% 2022-2042",29/09/2022,,10 000,51448,"29/07/2022 / 585,00",TPCI,2022,2042,5.85,29/07/2022,/
TPCI.O75,"TPCI 5,65% 2022-2029",19/01/2023,,10 000,38853,"07/10/2022 / 565,00",TPCI,2022,2029,5.65,07/10/2022,/
TPCI.O76,"TPCI 5,75% 2022-2032",19/01/2023,,10 000,39541,"07/10/2022 / 575,00",TPCI,2022,2032,5.75,07/10/2022,/
TPCI.O77,TPCI (TX DE BASE + SPREAD)% 2022-2029,14/02/2023,,10 000,17778,"11/02/2023 / 127,60",TPCI (TX DE BASE +,2022,2029,,11/02/2023,/
TPCI.O78,"TPCI 5,65% 2022-2029",24/02/2023,,10 000,28482,"13/12/2022 / 565,00",TPCI,2022,2029,5.65,13/12/2022,/
TPCI.O79,"TPCI 5,75% 2023-2030",19/05/2023,,9 992,16856,"28/02/2023 / 575,00",TPCI,2023,2030,5.75,28/02/2023,/
TPNE.O1,"TRESOR PUBLIC DU NIGER 6,50% 2019-2026",08/10/2019,,10 000,14030,"28/03/2023 / 650,00",TRESOR PUBLIC DU NIGER,2019,2026,6.50,28/03/2023,/
TPNE.O2,"TRESOR PUBLIC DU NIGER 6,50% 2019-2026",11/12/2019,,10 000,56630,"01/08/2022 / 650,00",TRESOR PUBLIC DU NIGER,2019,2026,6.50,01/08/2022,/
TPNE.O3,"TRESOR PUBLIC DU NIGER 6,50% 2020-2027",19/01/2021,,10 150,56808,"31/07/2022 / 650,00",TRESOR PUBLIC DU NIGER,2020,2027,6.50,31/07/2022,/
TPNE.O4,"TRESOR PUBLIC DU NIGER 6,30% 2021-2031",23/11/2021,,10 000,50918,"24/08/2022 / 630,00",TRESOR PUBLIC DU NIGER,2021,2031,6.30,24/08/2022,/
TPNE.O5,"TRESOR PUBLIC DU NIGER 6,15% 2022-2034",28/07/2022,,10 550,63522,"03/06/2022 / 615,00",TRESOR PUBLIC DU NIGER,2022,2034,6.15,03/06/2022,/
TPNE.O6,"TRESOR PUBLIC DU NIGER 6,15% 2022-2034",27/01/2023,,10 000,30834,"14/12/2022 / 615,00",TRESOR PUBLIC DU NIGER,2022,2034,6.15,14/12/2022,/
TPTG.O1,"TPTG 6,90% 2018-2023",18/05/2018,,9 850,34125,"26/07/2019 / 345,00",TPTG,2018,2023,6.90,26/07/2019,/
TPTG.O2,TPTG 6% 2022-2037,07/02/2023,,10 000,34685,"16/11/2022 / 600,00",TPTG,2022,2037,6,16/11/2022,/
