"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"République centrafricaine","CAF","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4656912641883","","","","39.4741878591047","27.3874455304506","24.7183383931604","29.7313574569074","48.8255636415639","","69.4966605871073","60.7411196005384","50.4082847170459","47.8910066085624","49.1138944132945","50.2879583175504","38.6803700321848","49.9024265440372","","","",
"Canada","CAN","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.506628166426","10.4441223723977","10.3393951287586","9.93087214008777","9.89281498888806","9.58419723687722","9.23224258448663","9.30151994110769","9.19324577861163","9.24042686754551","10.3660826936598","9.79622141076048","10.8234657662657","10.8672599217045","10.9077506775068","10.6961453305496","11.1461668864193","11.1249369429965","11.2986526681692","11.8263564007534","11.2099006164297","11.8152680192627","11.5280194700716","11.9871875740391","11.5909340961602","10.7322603919721","10.4161494188015","10.8521228780506","10.8313762090183","10.470604244104","7.09495190223773","9.18842744013377","10.1933081072563","10.2576535984611","",
"Europe centrale et les pays baltes","CEB","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45988867673412","","12.3090136515686","15.4667410544468","17.1818651956559","17.4424227770054","16.0845033460176","18.2122473321042","18.7184401986851","18.3470592393609","17.7667668836546","17.217525150276","17.351505239836","17.4737744763656","17.702743612535","17.3577058066335","17.2786634369873","17.1401887807096","16.4392959153663","15.1123772884067","14.8668754587823","15.3991283543748","15.5438468046793","15.8335347029645","15.8201454940854","16.6843167656765","17.0149904819667","17.0340446393238","17.4220232243477","16.3367611500614","16.5338029698455","15.9409129137482","16.5807145664416","",
"Suisse","CHE","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","8.69231261601485","7.95366795366795","7.79818583871113","7.26867945162676","6.71000137570505","6.41541812421622","6.48399173767106","6.50845792527553","6.45151860621474","6.7848029486816","6.5992835209826","6.56552192142701","6.40102885765213","","","","","","7.40627155719133","7.13293711057181","7.15139963760967","6.70696019045465","6.62898324315704","6.50933586349952","6.32620966043828","5.98554178604424","5.80564984211693","5.55300107836899","5.8760641792032","6.41685642875656","6.08742283341879","6.55749752456481","6.58402413418469","6.42864152242908","6.40136752924205","6.51894347585294","6.60090652435028","6.72794028563296","6.79609817196047","6.79231378879207","6.94405801276503","6.94589357928911","7.0709481214411","7.06125778322185","6.93611619372708","6.9961561107616","6.99715040089882","7.08672983960441","6.31711409767959","6.3445887756735","6.99068317296604","7.02224845842534","",
"Îles Anglo-Normandes","CHI","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7994441434864","19.8486133941354","20.6312127775749","21.568117563461","22.3143453467809","22.6946830572081","22.7388006566908","23.2327660275856","22.9327911011579","22.8592586006163","20.919597014662","20.772968076638","20.6696366635322","20.8298708129574","20.9304567346167","21.3679565512559","21.2962962962963","21.4891162161917","20.5120356440227","20.5500981585265","20.8150571019125","20.8839277262168","20.8891530976082","21.2547677940851","21.2850755265325","21.0059372346384","21.2256979547524","21.404027625519","21.5691104981625","21.5031446160719","20.100230741603","15.8026533195869","19.4190420456719","19.9210415323048","",
"Chine","CHN","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4041591426322","46.0220929394369","42.415664071715","43.5559811667066","42.2243873191936","45.7573169784955","43.6358680839466","42.4920890799451","44.6118469903471","43.5820026024794","43.316563560648","44.5426471849713","49.5358251441159","53.2379138190563","33.3963443518022","33.2763822505699","30.3309656724473","30.9738836722101","32.376192366264","28.722827229502","25.6284023663425","22.4554466223438","23.3390797174372","",
"Cameroun","CMR","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.6161127730197","53.7127165988069","59.1858125104813","60.6035889070147","47.4974326918784","40.402129163721","","","38.4227690483249","37.0915473940049","","","","","","","","","","","","","35.9644409792447","36.6651630831259","36.8578229820385","38.5008877991037","39.5118678185021","43.8638629565848","39.9378635931009","35.3806667075939","37.1678236743041","34.6685190705039","","","",
"Congo, République démocratique du","COD","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6025835737443","35.5567059573112","12.4963288077723","19.8855563425706","17.3574234197112","34.8579682233991","11.7792472653112","23.3165075936253","59.5158557195476","42.1564653425213","27.1374660739921","18.6740900427631","17.3534733418542","20.4709809022317","22.0814770095153","19.7356551117544","22.4184980449105","27.322451862631","33.0795233870805","32.073238011709","42.6051725508663","","32.7731563742392","35.513153965904","38.2475145991626","40.6498387279579","42.2929099680993","48.4528049653228","35.4477587981376","52.7844206354295","58.1256415919685","53.656196033174","37.3858203788972","","",
